Compound ID,Formula,Molecular Weight,Smile,IC50,unit,note,src table
Z1843970482,C19H13N3O3,331.32,CC=1C=C(C=C(C1)[N+](=O)[O-])C(=O)C(C#N)C=2N=CC=C3C=CC=CC23,,,,6
Z1843975441,C16H10N4O,274.27,O=C(C(C#N)C=1C=NC=2C=CC=CC2N1)C=3C=CC=NC3,,,,6
Z1843978126,C19H15N3O2,317.34,CCOC=1C=CC(=CC1)C(=O)C(C#N)C=2C=NC=3C=CC=CC3N2,,,,6
Z188458824,C26H20FN3O2S,457.51,FC=1C=CC=CC1COC=2C=CC(C=C(C#N)C3=NC=4SC=5CCCCC5C4C(=O)N3)=CC2,,,,6
Z1921681507,C22H19N3O3S,405.46,CC(=O)C=1C=C(C=CC1C)C(=O)C(C#N)C2=NC=3SC=4CCCCC4C3C(=O)N2,,,,6
Z198953564,C18H15N3O2S,337.39,CC=1SC=2NC(=C(C#N)C(=O)C=3C=CC(C)=CC3)NC(=O)C2C1C,,,,6
Z2020269067,C19H16N4O,316.35,CN(C)C=1C=CC=C(C1)C(=O)C(C#N)C=2C=NC=3C=CC=CC3N2,,,,6
Z2191903514,C17H11F3N2O2,332.27,CC(=O)C=1C=CC(=CC1)C(=O)C(C#N)C=2C=C(C=CN2)C(F)(F)F,,,,6
Z219196290,C14H13N3O,239.27,N#CC=1C=CC(NCCOC=2C=CC=CC2)=NC1,,,,6
Z219285576,C14H14N4O,254.28,CC1=CC(C)=C(CNC=2C=CC(C#N)=CN2)C(=O)N1,,,,6
Z2237008682,C17H22N4O2S,346.44,CC(=O)N1CCN(CC2=NC=3SC=4CCCCC4C3C(=O)N2)CC1,,,,6
Z2237009108,C22H25N3O2S,395.51,CCN(CC)C(=O)CC1=NC=2SC=3CC(CCC3C2C(=O)N1)C=4C=CC=CC4,,,,6
Z223829768,C19H17N5O2S,379.43,O=C(C(C#N)C1=NC=2SC=3CCCCC3C2C(=O)N1)C=4C=C(NN4)C5CC5,,,,6
Z2238829768,C19H17N5O2S,379.43,O=C(C(C#N)C1=NC=2SC=3CCCCC3C2C(=O)N1)C=4C=C(NN4)C5CC5,,,,6
Z2239043750,C24H13N3O5S,455.44,OC(=C(C#N)C1=NC=2C=CC=CC2C(=O)N1)C=3C=CC=4C(=O)C=5C=CC=CC5S(=O)(=O)C4C3,,,,6
Z2239044249,C17H12ClN5O4S,417.82,CC=1C=CC=2N=C(NC(=O)C2C1)C(C#N)C(=O)C=3N=C(N=CC3Cl)S(=O)(=O)C,,,,6
Z2239044290,C31H31ClN6O4,587.068,ClC=1C=NC(=NC1C(=O)C(C#N)C2=NC=3C=CC=CC3C(=O)N2)N4CCC(CC=5C=CC=CC5)CC4.C1COCCO1,,,,6
Z2239044291,C27H24ClN7O2,513.97,CC=1C=CC=2N=C(NC(=O)C2C1)C(C#N)C(=O)C=3N=C(N=CC3Cl)N4CCN(CC=5C=CC=CC5)CC4,,,,6
Z2239044292,C21H20ClN7O2,437.88,CN1CCN(CC1)C=2N=CC(Cl)=C(N2)C(=O)C(C#N)C3=NC=4C=CC(C)=CC4C(=O)N3,,,,6
Z2239044659,C29H27ClN6O2,527.01,CC=1C=C(C)C=2N=C(NC(=O)C2C1)C(C#N)C(=O)C=3N=C(N=CC3Cl)N4CCC(CC=5C=CC=CC5)CC4,,,,6
Z2239044660,C28H26ClN7O2,528.00,CC=1C=C(C)C=2N=C(NC(=O)C2C1)C(C#N)C(=O)C=3N=C(N=CC3Cl)N4CCN(CC=5C=CC=CC5)CC4,,,,6
Z2239044662,C22H21ClN6O2,436.89,CC=1C=CC=2N=C(NC(=O)C2C1)C(C#N)C(=O)C=3N=C(N=CC3Cl)N4CCCCCC4,,,,6
Z2239048015,C22H22N4OS,390.50,CC1CCC2=C(C1)SC=3N=C(NC(=O)C23)C(=CC=4C=CC(=CC4)N(C)C)C#N,,,,6
Z2239049174,C18H24N4O2S,360.47,CC1CCC2=C(C1)SC=3N=C(CN4CCN(CC4)C(=O)C)NC(=O)C23,,,,6
Z2239049381,C24H17Cl2N3O2S,482.381,CC1CCC2=C(C1)SC=3N=C(NC(=O)C23)C(=CC4=CC=C(O4)C=5C=C(Cl)C=CC5Cl)C#N,,,,6
Z2239050774,C28H22F3N3O3S,537.55,COC=1C=C(C=C(C#N)C2=NC=3SC=4CCCCC4C3C(=O)N2)C=CC1OCC=5C=CC=C(C5)C(F)(F)F,,,,6
Z2239052579,C22H12F3N3O3,423.34,OC(=C(C#N)C1=NC=2C=CC=CC2C(=O)N1)C3=CC=C(O3)C=4C=CC=C(C4)C(F)(F)F,,,,6
Z2239052580,C21H11Cl2N3O3,424.236,OC(=C(C#N)C1=NC=2C=CC=CC2C(=O)N1)C3=CC=C(O3)C=4C=CC(Cl)=CC4Cl,,,,6
Z2239052958,C21H19N3O2S,377.459,COC=1C=CC(C=C(C#N)C2=NC=3SC=4CC(C)CCC4C3C(=O)N2)=CC1,,,,6
Z2239053087,C22H21N3OS,375.486,CC=1C=C(C)C(C=C(C#N)C2=NC=3SC=4CCCCC4C3C(=O)N2)=C(C)C1,,,,6
Z2239054061,C18H14ClN5O4S,431.85,CC=1C=C(C)C=2N=C(NC(=O)C2C1)C(C#N)C(=O)C=3N=C(N=CC3Cl)S(=O)(=O)C,6.7,uM,,6
Z2239055770,C17H12FN3O2S,341.359,CC=1SC=2N=C(NC(=O)C2C1C)C(=C(O)C=3C=CC(F)=CC3)C#N,,,,6
Z2239055873,C23H17N3O2S,399.464,CC=1SC=2N=C(NC(=O)C2C1C)C(=C(O)C=3C=CC(=CC3)C=4C=CC=CC4)C#N,,,,6
Z2239056274,C25H22N4O4S2,506.596,CCN(C=1C=CC=CC1)S(=O)(=O)C=2C=CC=C(C2)C(=C(C#N)C3=NC=4SC(C)=C(C)C4C(=O)N3)O,,,,6
Z2239057751,C22H21N3O2S,391.486,CCCOC=1C=CC(C=C(C#N)C2=NC=3SC=4CCCCC4C3C(=O)N2)=CC1,,,,6
Z2239057969,C22H21N3OS,375.486,CC1CCC2=C(C1)SC=3N=C(NC(=O)C23)C(=CC=4C=C(C)C=CC4C)C#N,,,,6
Z2239058629,C18H14ClN5O2S,399.854,CSC=1N=CC(Cl)=C(N1)C(=O)C(C#N)C2=NC=3C(C)=CC(C)=CC3C(=O)N2,,,,6
Z2239062437,C24H23N3O3S,433.522,CCOC=1C=C2CC(C)OC2=CC1C=C(C#N)C3=NC=4SC=5CCCCC5C4C(=O)N3,,,,6
Z2239066124,C14H17N3O2S,291.36,CNC(=O)CCC1=NC=2SC=3CCCCC3C2C(=O)N1,,,,6
Z2239066176,C21H18N4O2S,390.45,CC(=O)NC=1C=CC(C=C(C#N)C2=NC=3SC=4CCCCC4C3C(=O)N2)=CC1,,,,6
Z2239066862,C20H21N3O2S,367.46,O=C(CCC1=NC=2SC=3CCCCC3C2C(=O)N1)NCC=4C=CC=CC4,,,,6
Z2239068944,C22H22N4O2S3,470.63,O=C1NC(CSCC2=NC=3SC=4CCCCC4C3C(=O)N2)=NC=5SC=6CCCCC6C15,,,,6
Z2239075141,C21H16N4OS,372.44,CC1CCC2=C(C1)SC=3N=C(NC(=O)C23)C(=CC=4C=CC=C(C#N)C4)C#N,,,,6
Z2239076719,C19H17N3O2S,351.42,CC1CCC2=C(C1)SC=3N=C(NC(=O)C23)C(=CC4=CC=C(C)O4)C#N,,,,6
Z2240633170,C20H19N7O,373.41,C1CN(CCO1)C2=NN=C(N2)C=3N=C(C=4C=CC=CC4)N(N3)C=5C=CC=CC5,,,,6
Z2241091150,C21H23N3O3S,397.49,CCOC=1C=CC(NC(=O)CCC2=NC=3SC=4CCCCC4C3C(=O)N2)=CC1,,,,6
Z2241091154,C23H27N3O2S,409.54,CCC(NC(=O)CCC1=NC=2SC=3CCCCC3C2C(=O)N1)C=4C=CC(C)=CC4,,,,6
Z2241091749,C23H28N4O2S,424.559,CN(C)CC=1C=CC(CNC(=O)CCC2=NC=3SC=4CCCCC4C3C(=O)N2)=CC1,,,,6
Z2241092411,C23H27N3O4S,441.543,COC=1C=CC(OC)=C(C1)C(C)NC(=O)CCC2=NC=3SC=4CCCCC4C3C(=O)N2,,,,6
Z2241109004,C24H21N3O4S,447.50,CCOCC1=C(OC=2C=CC=CC12)C(=O)C(C#N)C3=NC=4SC=5CCCCC5C4C(=O)N3,,,,6
Z2241109436,C22H21N3O2S,391.48,CC(C)OC=1C=CC(C=C(C#N)C2=NC=3SC=4CCCCC4C3C(=O)N2)=CC1,,,,6
Z2241109961,C23H20N4O4S,448.494,O=C(COC=1C=CC=2NC(=O)CCC2C1)C(C#N)C3=NC=4SC=5CCCCC5C4C(=O)N3,,,,6
Z2241111780,C20H22N2O3S,370.465,CCOC=1C=C(C=CC1OC)C2=NC=3SC=4CCCCCC4C3C(=O)N2,,,,6
Z2241121176,C19H17N3O2S,351.422,CC=1SC=2N=C(NC(=O)C2C1C)C(C#N)C(=O)CC=3C=CC(C)=CC3,,,,6
Z2241128125,C22H21N5O2S3,483.629,CCN(CC)C1=NC=2SC(=CC2S1)C(=O)C(C#N)C3=NC=4SC=5CCCCC5C4C(=O)N3,,,,6
Z2241977202,C19H17N5O2S,379.43,O=C(C(C#N)C1=NC=2SC=3CCCCC3C2C(=O)N1)C=4C=C(NN4)C5CC5,,,,6
Z228598916,C20H14N4OS,358.41,O=C1NC(=NC=2SC=3CCCCC3C12)C(=CC=4C=CC=C(C#N)C4)C#N,,,,6
Z2287314106,C20H17N3O4S,395.43,CC(=O)C1=CC(C(=O)C(C#N)C2=NC=3SC=4CCCCC4C3C(=O)N2)=C(C)O1,,,,6
Z2346700092,C8H8FN3,165.167,CCNC=1N=CC(C#N)=CC1F,,,,6
Z2368538128,C10H11ClF2N4,260.67,CC=1N=C(NCC(F)(F)CN)C(Cl)=CC1C#N,,,,6
Z237975626,C20H21N5O2,363.41,CCC(C)C(=O)NNC(=O)C=1N=C(C=2C=CC=CC2)N(N1)C=3C=CC=CC3,,,,6
Z245217624,C23H24N6O2S,448.54,CC1CCC2=C(C1)SC=3N=C(CCC(=O)NC4=NN=C(N4)C=5C=CC(C)=CC5)NC(=O)C23,,,,6
Z2497759076,C18H15N3O4S,369.39,COC1=CC=C(O1)C(=O)C(C#N)C2=NC=3SC=4CCCCC4C3C(=O)N2,,,,6
Z275106008,C22H20N4O5S,452.483,CC=1C=CC=2N=C(NC(=O)C2C1)C(C#N)C(=O)C=3C=CC(=CC3)S(=O)(=O)N4CCOCC4,,,,6
Z275106020,C21H18N4O5S,438.45,O=C(OCC#N)C=1N=C(C=2C=CC=CC2)N(N1)C=3C=CC=CC3,,,,6
Z275106046,C23H24N4O4S,452.52,O=C(C(C#N)C1=NC=2C=CC=CC2C(=O)N1)C=3C=CC(=CC3)S(=O)(=O)N4CCOCC4,,,,6
Z275106084,C23H22N4O4S,450.51,CCN(CC)S(=O)(=O)C=1C=CC(=CC1)C(=O)C(C#N)C2=NC=3C(C)=CC(C)=CC3C(=O)N2,,,,6
Z275106194,C23H22N4O4S,450.51,O=C(C(C#N)C1=NC=2C=CC=CC2C(=O)N1)C=3C=CC(=CC3)S(=O)(=O)N4CCCCCC4,,,,6
Z275122972,C22H20N4O4S,436.48,CC=1C=CC=2N=C(NC(=O)C2C1)C(C#N)C(=O)C=3C=CC(=CC3)S(=O)(=O)N4CCCCC4,,,,6
Z275200942,C21H19ClN6O2,422.86,CC=1C=CC=2N=C(NC(=O)C2C1)C(C#N)C(=O)C=3C=CC(=CC3)S(=O)(=O)N4CCCC4,,,,6
Z275234552,C15H13N3OS,283.34,CC=1C=CC=2N=C(NC(=O)C2C1)C(C#N)C(=O)C=3N=C(N=CC3Cl)N4CCCCC4,,,,6
Z275234996,C22H20N4O4S,436.48,O=C1NC(=NC=2SC=3CCCCC3C12)C=4C=CC=NC4,,,,6
Z275234998,C21H20N4O4S,424.47,O=C(C(C#N)C1=NC=2C=CC=CC2C(=O)N1)C=3C=CC(=CC3)S(=O)(=O)N4CCCCC4,,,,6
Z27768766,C25H23N5O,409.48,CCN(CC)S(=O)(=O)C=1C=CC(=CC1)C(=O)C(C#N)C2=NC=3C=CC=CC3C(=O)N2,,,,6
Z2782226860,C18H17N3O2,307.346,"C[C@@H]1C[C@@H](NC(=O)C1)C(=O)C(C#N)C=2C=CC=3C=CC=CC3N2 |&1:1,3,r|",,,,6
Z279119620,C25H22N6O2,438.48,O=C(N1CCN(CC1)C=2C=CC=CC2)C=3N=C(C=4C=CC=CC4)N(N3)C=5C=CC=CC5,,,,6
Z295404994,C8H10N4,162.19,O=C(NC1CC1)NC=2C=CC(NC(=O)C=3N=C(C=4C=CC=CC4)N(N3)C=5C=CC=CC5)=CC2,,,,6
Z30171735,C21H17N5O,355.39,NCCNC=1C=CC(C#N)=CN1,,,,6
Z30353628,C22H20N8O,412.44,O=C(NCC=1C=CC=NC1)C=2N=C(C=3C=CC=CC3)N(N2)C=4C=CC=CC4,,,,6
Z30811609,C17H15N5O2,321.33,NC=1NN=C(CCCNC(=O)C=2N=C(C=3C=CC=CC3)N(N2)C=4C=CC=CC4)C1C#N,,,,6
Z31198923,C22H22N4O2S,406.50,CC(=O)NNC(=O)C=1N=C(C=2C=CC=CC2)N(N1)C=3C=CC=CC3,,,,6
Z31212255,C19H18N4O2S,366.43,O=C1C=2C=3CCCCC3SC2N=C4C=5C=CC=CC5C(NCC6CCCO6)=NN14,,,,6
Z31216095,C23H19N5OS,413.49,OCCNC1=NN2C(=O)C=3C=4CCCCC4SC3N=C2C=5C=CC=CC15,,,,6
Z31221033,C20H20N4O2S,380.463,OCCCNC1=NN2C(=O)C=3C=4CCCCC4SC3N=C2C=5C=CC=CC15,,,,6
Z3140128437,C20H17N3O3S,379.43,O=C(C(C#N)C1=NC=2SC=3CCCCC3C2C(=O)N1)C4=CC=C(O4)C5CC5,,,,6
Z3219926110,C13H13N3OS,259.32,O=C(C(C#N)C1=NC=2SC=3CCCCC3C2C(=O)N1)C4=CC=C(O4)C5CC5,,,,6
Z359372770,C14H14F3N3O,297.27,CC1CCC2=C(C1)SC=3N=C(CC#N)NC(=O)C23,,,,6
Z372612342,C14H13N5O,267.28,FC(F)(F)C=1C=CC(=NC1)C(C#N)C(=O)N2CCCCC2,,,,6
Z384744554,C21H21N3O2,347.41,O=C(NCCNC=1C=CC(C#N)=CN1)C=2C=CN=CC2,,,,6
Z384745190,C17H12N4O,288.30,O=C(CC=1C=CC=CC1)N2CCCC(C2)C(=O)C(C#N)C=3C=CC=CN3,,,,6
Z384748046,C16H14N2O2,266.29,O=C(C(C#N)C=1C=CC=CN1)C=2C=CC(=CC2)N3C=CN=C3,,,,6
Z384749926,C16H14N2OS,282.36,COC=1C=CC(C)=CC1C(=O)C(C#N)C=2C=CC=CN2,,,,6
Z384897240,C17H13F3N2O2,334.29,CSCC=1C=CC(=CC1)C(=O)C(C#N)C=2C=CC=CN2,,,,6
Z384966146,C16H19N3O,269.34,COC=1C=C(C=CC1C)C(=O)C(C#N)C=2C=CC(=CN2)C(F)(F)F,,,,6
Z384969710,C21H20N4O,344.40,CC=1C=C(N=C(C)N1)C(C#N)C(=O)C2CC3CCC2C3,,,,6
Z4056455497,C22H18N2O,326.39,CC=1C=C(N=C(C)N1)C(C#N)C(=O)C=2C=CC=3NC=4CCCCC4C3C2,,,,6
Z4135997843,C17H17N3O2,295.33,CC=1C=CC=C(N1)C(C#N)C(=O)C=2C=CC(C)=C(C2)C=3C=CC=CC3,,,,6
Z4135997969,C17H17N3O2,295.33,COC(=O)CC=1C=CC(CNC=2N=CC(C#N)=CC2C)=CC1,,,,6
Z4432057255,C20H19N3O3S,381.44,CC(C)C1=CC=C(O1)C(=O)C(C#N)C2=NC=3SC=4CCCCC4C3C(=O)N2,,,,6
Z49949264,C20H19N5O,345.39,CC(C)C1=CC=C(O1)C(=O)C(C#N)C2=NC=3SC=4CCCCC4C3C(=O)N2,,,,6
Z55164073,C24H19N3OS,397.49,O=C(NN=C1CCCC1)C=2N=C(C=3C=CC=CC3)N(N2)C=4C=CC=CC4,,,,6
Z55427687,C21H14N2O2,326.34,CC1CCC2=C(C1)SC=3N=C4C=5C=CC=CC5C(=NN4C(=O)C23)C=6C=CC=CC6,,,,6
Z55427820,C18H19ClN2O,314.80,O=C(C(C#N)C=1C=CC=CN1)C2C=3C=CC=CC3OC=4C=CC=CC24,,,,6
Z55428029,C20H17N3O,315.36,ClC1(CC2CC3C1)CC(C2)(C3)C(=O)C(C#N)C=4C=CC=CN4,,,,6
Z55524601,C14H10N2O,222.24,O=C(C(C#N)C=1C=CC=CN1)C=2C=CC=3NC=4CCCCC4C3C2,,,,6
Z55524641,C20H14N2O2,314.33,O=C(C(C#N)C=1C=CC=CN1)C=2C=CC=CC2,,,,6
Z55524686,C16H14N2O2,266.29,O=C(C(C#N)C=1C=CC=CN1)C=2C=CC=C(OC=3C=CC=CC3)C2,,,,6
Z55524729,C15H9F3N2O2,306.23,CCOC=1C=CC(=CC1)C(=O)C(C#N)C=2C=CC=CN2,,,,6
Z55525100,C19H20N2O3,324.37,FC(F)(F)OC=1C=CC(=CC1)C(=O)C(C#N)C=2C=CC=CN2,,,,6
Z55525131,C18H13N3O3,319.31,CCCCOC=1C=CC(=CC1OC)C(=O)C(C#N)C=2C=CC=CN2,,,,6
Z56595396,C15H9N3O,247.25,O=C(C(C#N)C=1C=CC=CN1)C=2C=CC=C(C2)N3C(=O)CCC3=O,,,,6
Z56598066,C17H10FN3O2,307.27,O=C(C(C#N)C=1C=CC=CN1)C=2C=CC=C(C#N)C2,,,,6
Z56598135,C19H15N3O4,349.34,FC=1C=CC(=CC1)C(=O)C(C#N)C2=NC=3C=CC=CC3C(=O)N2,,,,6
Z56598813,C19H14FN3O2S,367.39,FC=1C=CC(=CC1)C(=O)C(C#N)C2=NC=3SC=4CCCCC4C3C(=O)N2,,,,6
Z56598818,C17H13N3O3S,339.368,O=C(C(C#N)C1=NC=2SC=3CCCCC3C2C(=O)N1)C4=CC=CO4,,,,6
Z56598830,C20H17N3O3S,379.43,COC=1C=CC(=CC1)C(=O)C(C#N)C2=NC=3SC=4CCCCC4C3C(=O)N2,,,,6
Z56598837,C19H15N3O2S,349.40,O=C(C(C#N)C1=NC=2SC=3CCCCC3C2C(=O)N1)C=4C=CC=CC4,,,,6
Z56598853,C20H17N3O2S,363.43,CC=1C=CC(=CC1)C(=O)C(C#N)C2=NC=3SC=4CCCCC4C3C(=O)N2,,,,6
Z56598903,C21H19N3O2S,377.45,CCC=1C=CC(=CC1)C(=O)C(C#N)C2=NC=3SC=4CCCCC4C3C(=O)N2,,,,6
Z56771540,C16H10ClN5O4S,403.79,CCC=1C=CC(=CC1)C(=O)C(C#N)C2=NC=3SC=4CCCCC4C3C(=O)N2,,,,6
Z56771540,C16H10ClN5O4S,403.799,CS(=O)(=O)C=1N=CC(Cl)=C(N1)C(=O)C(C#N)C2=NC=3C=CC=CC3C(=O)N2,,,,6
Z56777263,C18H13BrN6O3,441.238,COCCNC=1N=CC2=C(N1)C(=O)C(C#N)=C3NC=4C=CC(Br)=CC4C(=O)N23,,,,6
Z56785877,C26H22ClN7O2,499.95,CS(=O)(=O)C=1N=CC(Cl)=C(N1)C(=O)C(C#N)C2=NC=3C=CC=CC3C(=O)N2,,,,6
Z56785878,C16H9N5O4S,367.338,CS(=O)(=O)C=1N=CC2=C(N1)C(=O)C(C#N)=C3NC=4C=CC=CC4C(=O)N23,,,,6
Z56785879,C21H20ClN7O2,437.88,ClC=1C=NC(=NC1C(=O)C(C#N)C2=NC=3C=CC=CC3C(=O)N2)N4CCN(CC=5C=CC=CC5)CC4,,,,6
Z56785882,C21H19ClN6O2,422.86,CCN1CCN(CC1)C=2N=CC(Cl)=C(N2)C(=O)C(C#N)C3=NC=4C=CC=CC4C(=O)N3,,,,6
Z56785953,C19H15ClN6O2,394.81,ClC=1C=NC(=NC1C(=O)C(C#N)C2=NC=3C=CC=CC3C(=O)N2)N4CCCCCC4,,,,6
Z56785960,C16H10ClN5O2S,371.80,ClC=1C=NC(=NC1C(=O)C(C#N)C2=NC=3C=CC=CC3C(=O)N2)N4CCCC4,,,,6
Z56785960,C16H10ClN5O2S,371.800,CSC=1N=CC(Cl)=C(N1)C(=O)C(C#N)C2=NC=3C=CC=CC3C(=O)N2,,,,6
Z56785962,C20H17ClN6O2,408.84,CSC=1N=CC(Cl)=C(N1)C(=O)C(C#N)C2=NC=3C=CC=CC3C(=O)N2,,,,6
Z56785964,C16H9Cl2N5O4S,438.24,ClC=1C=NC(=NC1C(=O)C(C#N)C2=NC=3C=CC=CC3C(=O)N2)N4CCCCC4,13.6,uM,,6
Z56785964,C16H9Cl2N5O4S,438.244,CS(=O)(=O)C=1N=CC(Cl)=C(N1)C(=O)C(C#N)C2=NC=3C=CC(Cl)=CC3C(=O)N2,13.6,uM,,6
Z56785977,C16H9ClIN5O2S,497.69,CS(=O)(=O)C=1N=CC(Cl)=C(N1)C(=O)C(C#N)C2=NC=3C=CC(Cl)=CC3C(=O)N2,,,,6
Z56785993,C20H18ClN7O2,423.85,CSC=1N=CC(Cl)=C(N1)C(=O)C(C#N)C2=NC=3C=CC(I)=CC3C(=O)N2,,,,6
Z56785994,C16H9BrClN5O2S,450.69,CN1CCN(CC1)C=2N=CC(Cl)=C(N2)C(=O)C(C#N)C3=NC=4C=CC=CC4C(=O)N3,,,,6
Z56785994,C16H9BrClN5O2S,450.696,CSC=1N=CC(Cl)=C(N1)C(=O)C(C#N)C2=NC=3C=CC(Br)=CC3C(=O)N2,,,,6
Z56785999,C19H16ClIN6O5S,602.79,CSC=1N=CC(Cl)=C(N1)C(=O)C(C#N)C2=NC=3C=CC(Br)=CC3C(=O)N2,,,,6
Z56786003,C25H20N6O4,468.464,COC=1C=CC(CCNC=2N=CC3=C(N2)C(=O)C(C#N)=C4NC=5C=CC=CC5C(=O)N34)=CC1OC,,,,6
Z56786075,C18H14N6O3,362.342,OCCCNC=1N=CC2=C(N1)C(=O)C(C#N)=C3NC=4C=CC=CC4C(=O)N23,,,,6
Z56786133,C19H14N6O3,374.352,O=C1C(C#N)=C2NC=3C=CC=CC3C(=O)N2C=4C=NC(=NC14)N5CCOCC5,,,,6
Z56786187,C27H22Cl2N6O2,533.40,CN(C)C=O.CS(=O)(=O)C=1N=CC(Cl)=C(N1)C(=O)C(C#N)C2=NC=3C=CC(I)=CC3C(=O)N2,24,uM,nonspecific,6
Z56786247,C22H23ClN6O4S,502.973,CCN(CC)CC.CS(=O)(=O)C=1N=CC2=C(N1)C(=O)C(C#N)=C3NC=4C=CC(Cl)=CC4C(=O)N23,,,,6
Z56786284,C20H16N6O2,372.380,CC=1C=CC=2NC3=C(C#N)C(=O)C=4N=C(N=CC4N3C(=O)C2C1)N5CCCC5,,,,6
Z56786291,C26H22N6O4,482.490,COC=1C=CC(CCNC=2N=CC3=C(N2)C(=O)C(C#N)=C4NC=5C=CC(C)=CC5C(=O)N34)=CC1OC,,,,6
Z56855687,C21H22N4O2S,394.48,ClC=1C=CC=2N=C(NC(=O)C2C1)C(C#N)C(=O)C=3N=C(N=CC3Cl)N4CCC(CC=5C=CC=CC5)CC4,,,,6
Z56878913,C17H20N4O2S,344.43,COCCNC1=NN2C(=O)C=3C=4CCC(C)CC4SC3N=C2C=5C=CC=CC15,,,,6
Z56881791,C18H16N4O2S,352.41,CCC(CO)NC=1C=CC2=NC=3SC=4CCCCC4C3C(=O)N2N1,,,,6
Z56881851,C23H24N4O2S,420.52,O=C1C=2C=3CCCCC3SC2N=C4C=CC(NCC5=CC=CO5)=NN14,,,,6
Z56883417,C14H11N5OS,297.33,CC1CCC2=C(C1)SC=3N=C4C=5C=CC=CC5C(NCC6CCCO6)=NN4C(=O)C23,,,,6
Z56929217,C27H25N3OS,439.57,O=C1C=2C=3CCCCC3SC2N=C4C=CC5=NN=CN5N14,,,,6
Z56929218,C23H27N5OS,421.55,CC(C)(C)C1CCC2=C(C1)SC=3N=C4C=5C=CC=CC5C(=NN4C(=O)C23)C=6C=CC=CC6,,,,6
Z57931584,C22H22N2O,330.422,O=C(C(C#N)C=1C=CC=2C=CC=CC2N1)C3(CC4CC5CC(C4)C3)C5,,,,6
Z57949002,C22H22N6O2,402.449,CCCCCCNC=1N=CC2=C(N1)C(=O)C(C#N)=C3NC=4C=CC(C)=CC4C(=O)N23,,,,6
Z57949003,C20H19N7O2,389.410,CN(C)CCCNC=1N=CC2=C(N1)C(=O)C(C#N)=C3NC=4C=CC=CC4C(=O)N23,,,,6
Z57949004,C21H20N6O2,388.422,CCCCCCNC=1N=CC2=C(N1)C(=O)C(C#N)=C3NC=4C=CC=CC4C(=O)N23,,,,6
Z57965697,C17H11N5O4S,381.365,CC=1C=CC=2NC3=C(C#N)C(=O)C=4N=C(N=CC4N3C(=O)C2C1)S(=O)(=O)C,,,,6
Z57968419,C25H17N7O2,447.448,O=C1C(C#N)=C2NC=3C=CC=CC3C(=O)N2C=4C=NC(NCCC5=CNC=6C=CC=CC56)=NC14,,,,6
Z57969950,C16H9BrClN5O4S,482.69,CS(=O)(=O)C=1N=CC(Cl)=C(N1)C(=O)C(C#N)C2=NC=3C=CC(Br)=CC3C(=O)N2,,,,6
Z594628674,C22H18ClN5O3,435.86,CS(=O)(=O)C=1N=CC(Cl)=C(N1)C(=O)C(C#N)C2=NC=3C=CC(Br)=CC3C(=O)N2,,,,6
Z637351400,C20H17N3O2S,363.432,CC=1C=CC=CC1C(=O)C(C#N)C2=NC=3SC=4CCCCC4C3C(=O)N2,,,,6
Z637351656,C25H22N4O2S,442.53,CC1=CC(C(=O)C(C#N)C2=NC=3SC=4CCCCC4C3C(=O)N2)=C(C)N1C=5C=CC=CC5,,,,6
Z637352026,C18H16N4O2S,352.41,CN1C=CC=C1C(=O)C(C#N)C2=NC=3SC=4CCCCC4C3C(=O)N2,,,,6
Z637352638,C23H18N4O3S,430.479,CC=1OC(=NC1C(=O)C(C#N)C2=NC=3SC=4CCCCC4C3C(=O)N2)C=5C=CC=CC5,7.5,uM,,6
Z637352642,C25H19N3O4S,457.50,CC(=O)C=1C=CC(=CC1)C2=CC=C(O2)C(=O)C(C#N)C3=NC=4SC=5CCCCC5C4C(=O)N3,223,uM,,6
Z637352654,C21H19N3O2S2,409.52,CSCC=1C=CC(=CC1)C(=O)C(C#N)C2=NC=3SC=4CCCCC4C3C(=O)N2,,,,6
Z637353056,C22H18N6O2S,430.48,CC1=NN(N=C1C(=O)C(C#N)C2=NC=3SC=4CCCCC4C3C(=O)N2)C=5C=CC=CC5,,,,6
Z637353164,C21H19N3O3S,393.45,COCC=1C=CC(=CC1)C(=O)C(C#N)C2=NC=3SC=4CCCCC4C3C(=O)N2,,,,6
Z637353190,C23H16FN3O3S,433.45,FC=1C=CC=CC1C2=CC=C(O2)C(=O)C(C#N)C3=NC=4SC=5CCCCC5C4C(=O)N3,,,,6
Z637353266,C23H16FN3O3S,433.454,FC=1C=CC(=CC1)C2=CC=C(O2)C(=O)C(C#N)C3=NC=4SC=5CCCCC5C4C(=O)N3,,,,6
Z637353522,C23H19N5O3S,445.49,COC1=CN(N=C1C(=O)C(C#N)C2=NC=3SC=4CCCCC4C3C(=O)N2)C=5C=CC=CC5,,,,6
Z637353780,C25H23N5O2S,457.54,CC1=NN(C(C)=C1CC(=O)C(C#N)C2=NC=3SC=4CCCCC4C3C(=O)N2)C=5C=CC=CC5,,,,6
Z637353870,C22H17N5O2S,415.46,O=C(C(C#N)C1=NC=2SC=3CCCCC3C2C(=O)N1)C=4C=NN(C4)C=5C=CC=CC5,,,,6
Z637354024,C20H18N4O3S,394.44,CC(=O)C=1C=C(C(=O)C(C#N)C2=NC=3SC=4CCCCC4C3C(=O)N2)N(C)C1,,,,6
