Compound ID,Formula,Molecular Weight,Smile,IC50,unit,note,src table
Z3827541742,C19H27N5,325.451,CC(C)N1CCC(CC1)NC=2N=C(NC3CC3)N=C4C=CC=CC24,,,,5
Z445408504,C12H16N4O,232.281,C=CC(=O)NC1CCCN(C1)C=2N=CC=CN2,,,,5
Z445605398,C17H22N4O,298.382,COC=1C=CC(CNC2CCCN(C2)C=3N=CC=CN3)=CC1,,,,5
Z445606016,C20H24N6,348.444,C(NC1CCCN(C1)C=2N=CC=CN2)C=3C=NN(CC=4C=CC=CC4)C3,,,,5
Z445818540,C15H23N5O,289.376,O=C(NC1CCCC1)NC2CCCN(C2)C=3N=CC=CN3,,,,5
Z446030704,C16H20N6O,312.369,O=C(NCC=1C=CC=CN1)NC2CCCN(C2)C=3N=CC=CN3,,,,5
Z446851526,C18H23N5O2,341.407,OC(CNC(=O)NC1CCCN(C1)C=2N=CC=CN2)C=3C=CC=CC3,,,,5
Z447062158,C17H20FN5O,329.372,FC=1C=CC=CC1CNC(=O)NC2CCCN(C2)C=3N=CC=CN3,,,,5
Z447521532,C18H23N5O2,341.407,O=C(NCCOC=1C=CC=CC1)NC2CCCN(C2)C=3N=CC=CN3,,,,5
Z511346932,C19H19N5OS,365.452,O=C(NC1CCCN(C1)C=2N=CC=CN2)C3=CN=C(S3)C=4C=CC=CC4,,,,5
Z511350620,C19H21N5O,335.402,O=C(CC1=CNC=2C=CC=CC12)NC3CCCN(C3)C=4N=CC=CN4,,,,5
Z511351294,C15H17N5O,283.328,O=C(NC1CCCN(C1)C=2N=CC=CN2)C=3C=CC=CN3,,,,5
Z511353308,C17H18N4O3,326.349,OC(=O)C=1C=CC(=CC1)C(=O)NC2CCCN(C2)C=3N=CC=CN3,,,,5
Z511358506,C21H22N4O,346.425,O=C(CC=1C=CC=2C=CC=CC2C1)NC3CCCN(C3)C=4N=CC=CN4,,,,5
Z511358820,C20H20N4O2,348.398,OC=1C=C2C=CC=CC2=CC1C(=O)NC3CCCN(C3)C=4N=CC=CN4,,,,5
Z511359508,C20H23N5O,349.429,CC=1NC=2C=CC=CC2C1CC(=O)NC3CCCN(C3)C=4N=CC=CN4,,,,5
Z511360056,C15H16N4O3S,332.377,OC(=O)C1=CC=C(S1)C(=O)NC2CCCN(C2)C=3N=CC=CN3,,,,5
Z511360532,C15H20N6O,300.358,CC(C(=O)NC1CCCN(C1)C=2N=CC=CN2)N3C=CC=N3,,,,5
Z558582944,C15H18N6O,298.343,O=C(NC1CCCN(C1)C=2N=CC=CN2)NC=3C=CC=CN3,,,,5
Z56906778,C13H14ClN3,247.723,ClC=1N=C(NC2CCCC2)C=3C=CC=CC3N1,,,,5
Z57157915,C19H20N4,304.388,C1CCC(CC1)NC=2N=C(N=C3C=CC=CC23)C=4C=CN=CC4,,,,5
Z635446482,C18H19ClN4S,358.888,ClC1=C(CNC2CCCN(C2)C=3N=CC=CN3)SC=4C=CC=CC14,,,,5
Z645009696,C21H20N6S,388.488,C1CN(CCC1NC=2N=C(N=C3C=CC=CC23)C4=CC=CS4)C=5N=CC=CN5,,,,5
Z646051340,C15H16F3N5,323.316,FC(F)(F)C=1C=CC(NC2CCCN(C2)C=3N=CC=CN3)=NC1,,,,5
Z646051346,C15H16ClN5O2,333.772,[O-][N+](=O)C=1C=C(Cl)C=CC1NC2CCCN(C2)C=3N=CC=CN3,,,,5
Z646051390,C14H17N5,255.318,C1CC(CN(C1)C=2N=CC=CN2)NC=3C=CC=CN3,,,,5
Z646051398,C16H18N8,322.367,C1CC(CN(C1)C=2N=CC=CN2)NC3=NN=NN3C=4C=CC=CC4,,,,5
Z646051418,C15H17N5O2,299.327,[O-][N+](=O)C=1C=CC(NC2CCCN(C2)C=3N=CC=CN3)=CC1,,,,5
Z646051426,C15H16ClN5O2,333.772,[O-][N+](=O)C=1C=CC(NC2CCCN(C2)C=3N=CC=CN3)=C(Cl)C1,,,,5
Z646051434,C16H16N6O2,324.337,[O-][N+](=O)C=1C=CC(NC2CCCN(C2)C=3N=CC=CN3)=C(C#N)C1,,,,5
Z646051596,C15H16N6S,312.392,C1CC(CN(C1)C=2N=CC=CN2)NC=3N=CN=C4SC=CC34,,,,5
Z646051712,C18H19N5,305.376,C1CC(CN(C1)C=2N=CC=CN2)NC=3C=CC=4C=CC=CC4N3,,,,5
Z646051716,C22H21N5O3,403.433,[O-][N+](=O)C=1C=C(C=CC1NC2CCCN(C2)C=3N=CC=CN3)C(=O)C=4C=CC=CC4,,,,5
Z646051718,C14H16N6O2,300.315,[O-][N+](=O)C=1C=CC=NC1NC2CCCN(C2)C=3N=CC=CN3,,,,5
Z646051750,C18H24N6O2S,388.487,O=S(=O)(N1CCCC1)C=2C=CC(NC3CCCN(C3)C=4N=CC=CN4)=NC2,,,,5
Z646051762,C22H26N6O2S,438.545,CCN(C=1C=CC=CC1)S(=O)(=O)C=2C=CC(NC3CCCN(C3)C=4N=CC=CN4)=NC2,,,,5
Z646052138,C15H16N6,280.327,N#CC=1C=CC=NC1NC2CCCN(C2)C=3N=CC=CN3,,,,5
Z646052146,C15H16FN5O2,317.318,[O-][N+](=O)C=1C=C(F)C=CC1NC2CCCN(C2)C=3N=CC=CN3,,,,5
